Depth,Corrected porosity,Magnetic Number,TOC,Quartz,Calcite,Dolomite,Illite,Smectite,Kaolinite,Chlorite,Pyrite,Orthoclase Feldspar,Oglioclase Feldspar,Mixed Clays,Albite,Anhydrite,Siderite,Apatite,Aragonite
6727,4.2,6.5,5.49,12.8,2.7,0,33.2,3.6,0,4.8,1.6,0,0,0,10.1,0,2.8,28.4,0
6729,3.4,8,4.78,10.8,22.4,0,23.7,0,0,3.7,3.1,0,0.3,6.2,11.6,0,5,13.1,0
6731,3.66,7,2.67,10.8,5.5,29.7,23.2,0,0,0.1,0,0,0.4,13.1,9,0,6.9,1.2,0
6734,4.25,6,3.09,20,4.7,3.3,36.2,0.6,0.3,3.8,3.2,0,3.4,10.1,7.4,0.2,5.3,0.8,0.6
6736.1,3.51,9.5,4.38,18.2,7.2,0,34.4,0.4,0,3.3,7.3,0,0.9,6.5,10.7,0,5.2,6.1,0
6738.1,3.34,8,6.75,12.8,0,1.6,42.9,8.3,0,0.7,0,0,0,2.2,15.4,0,2.6,13.5,0
6739.9,4.87,8,0,25.2,0.6,0,43.8,0,0,0,2.9,2.7,0,11.9,8.5,0,3.4,1,0
6742.1,4.08,10.5,3.94,19.5,0,0,43.7,0,0,0.2,5.7,0,0,17.7,8.4,0,4,1,0
6744.1,2.54,5,4.86,17.6,25.7,0,32.4,0,0,4.3,4.2,0,1.5,8.3,2.2,0,3.1,0.7,0
6745.9,1.35,7.5,1.7,6.4,67,0,4,0,0,7.6,3.1,0,2.8,0,3.1,0.2,5,0.9,0
6750.2,2.99,7,3.95,30,23.5,0,21.1,0,0,5.2,1.2,0,1.7,6.4,2,0,7,1.8,0
6752.6,2.81,6.3,1.75,8.7,8.1,41.4,13.1,0,0,0,2.5,6.4,3.2,5.6,5.4,0.1,3.5,2.1,0
6754.5,5.41,9,2.83,33.4,1.1,0,25.7,0,0,0,8.7,2,0.8,16.3,9.3,0,2.8,0.1,0
6756.4,6.37,0,4.99,43.4,1.8,0,26.4,0,0,1.8,1.5,3.4,0,7.3,8.3,0,4.8,1.2,0.1
6758.3,4.15,0,0,31.6,4.8,0,31.6,0,0,1.9,0.5,2.4,0,12,7.9,0,3.6,3.7,0
6760.15,3.84,0,3.42,39.3,18,10,19,0,0,0.8,0.4,0,0,1.6,3.4,0,3.3,4.3,0
6762.3,4.65,10,4.56,50,9.4,0,19.6,0,0,0,0,0,1.1,4.8,1.7,0,8,4.3,1.1
6765,4.39,11,2.78,21.6,7.9,23,22.4,0,0,0,0,1.2,1.8,10,3.8,0,5,3.4,0
6769.1,3.46,13,2.91,29.3,7.6,9.6,26.5,0,0,2.4,2,2.1,0,13.5,4.8,0,2,0.2,0
6771.8,3.86,12.3,1.53,43.1,7.8,0,28.7,0,0,0,0.7,0,0,9.8,8.7,0,1,0,0.1
6773.9,3.77,14.7,2.06,26.7,15.4,2,28.4,0,0,1.8,4.2,1.2,2,11.5,3.4,0,3.4,0,0
6775.1,4.6,17,3.52,31,0,1.6,33.9,0,0,0.4,0,8.2,2,11.8,6,0,4.2,0.9,0
6780.6,4.16,11.7,2.47,16,8.7,0.6,28.3,0,0,2.1,5.6,6.4,0.5,19,7.2,0,4.6,1.2,0
6782.2,2.49,13,2.32,24.8,19.8,3.9,27,0,0,0,1.4,0,0,12.6,8.2,0,2.3,0,0.1
6784.3,2.99,12.3,3.66,20.2,11.9,0,25.8,0,0,3.5,5.1,5,2.2,12.4,5.8,0,5.1,2.9,0
6794,6.28,3,0.11,0,0,87.2,5.4,0,0,0,0,1,0.1,0,4.5,0.2,0,1.7,0
