Well ori,Well,DEPTH,PEF,RHOB,NPHI,GR,AT90
4.21E+11,1,7797,3.1454,2.4919,0.1681,130.425,24.4621
4.21E+11,1,7797.5,3.1945,2.4832,0.1661,125.5811,27.1451
4.21E+11,1,7806,3.3511,2.4787,0.1642,128.6822,29.8073
4.21E+11,1,7806.5,3.3207,2.4925,0.1674,128.1622,27.2854
4.21E+11,1,7807,3.2756,2.5084,0.1645,131.1308,24.7065
4.21E+11,1,7807.5,3.2306,2.5088,0.172,137.4747,21.3826
4.21E+11,1,7808,3.2276,2.5015,0.1776,144.0144,19.4388
4.21E+11,1,7808.5,3.3052,2.4919,0.1813,144.1843,21.2123
4.21E+11,1,7809,3.4295,2.4879,0.1668,137.2584,27.0897
4.21E+11,1,7830.5,3.6449,2.5924,0.1201,106.0188,22.942
4.21E+11,1,7831,3.4458,2.536,0.151,113.233,18.9562
4.21E+11,1,7831.5,3.3618,2.5165,0.1724,114.6944,16.9951
4.21E+11,1,7832,3.4126,2.5269,0.1769,113.6248,16.6887
4.21E+11,1,7832.5,3.5083,2.5468,0.1709,114.5275,16.8359
4.21E+11,1,7833,3.5411,2.5556,0.1647,122.465,15.7668
4.21E+11,1,7833.5,3.4762,2.5413,0.1709,132.248,14.4808
4.21E+11,1,7834,3.3497,2.5242,0.1833,140.3006,13.6485
4.21E+11,1,7834.5,3.2464,2.5122,0.1928,139.0583,13.8024
4.21E+11,1,7835,3.1936,2.5101,0.1917,139.3786,14.5656
4.21E+11,1,7835.5,3.1911,2.5019,0.1895,137.0419,15.6047
4.21E+11,1,7836,3.192,2.495,0.1906,138.5552,16.3408
4.21E+11,1,7836.5,3.1972,2.4906,0.1921,135.6565,16.465
4.21E+11,1,7837,3.195,2.4944,0.1913,134.2198,16.7446
4.21E+11,1,7837.5,3.2268,2.4994,0.1852,128.9863,17.1546
4.21E+11,1,7838,3.2463,2.5108,0.1786,129.1353,17.4743
4.21E+11,1,7838.5,3.269,2.519,0.177,128.7489,18.0607
4.21E+11,1,7839,3.3041,2.5225,0.1761,130.0602,18.7393
4.21E+11,1,7839.5,3.3571,2.5218,0.1815,130.562,19.5042
4.21E+11,1,7840,3.4319,2.5145,0.1827,133.5804,20.1082
4.21E+11,1,7840.5,3.4855,2.5075,0.1838,136.1544,20.4944
4.21E+11,1,7841,3.5196,2.5034,0.1765,135.5053,21.301
4.21E+11,1,7841.5,3.538,2.5031,0.1744,132.539,21.2921
4.21E+11,1,7842,3.5518,2.5046,0.1732,130.1353,20.3044
4.21E+11,1,7842.5,3.5866,2.5071,0.1737,129.5274,20.3108
4.21E+11,1,7843,3.6304,2.5106,0.1707,128.151,21.4696
4.21E+11,1,7843.5,3.6667,2.5175,0.1636,125.2252,22.5704
4.21E+11,1,7844,3.6686,2.5219,0.1587,120.8527,22.3551
4.21E+11,1,7844.5,3.6559,2.5327,0.1592,117.383,21.8006
4.21E+11,1,7845,3.6854,2.5412,0.1618,113.3724,22.5968
4.21E+11,1,7845.5,3.7648,2.5546,0.157,109.1634,24.395
4.21E+11,1,7846,3.8426,2.5671,0.1451,104.9887,26.8248
4.21E+11,1,7846.5,3.847,2.577,0.1491,105.0723,27.504
4.21E+11,1,7847,3.7872,2.5784,0.1561,107.9072,24.1231
4.21E+11,1,7847.5,3.7305,2.5764,0.1715,109.9185,21.2129
