Depth,Corr_por,TOC,Quartz,Calcite,Dolomite,Illite,Smectite,Kaolinite,Chlorite,Mixed_Clays,Albite,Siderite,Apatite,Aragonite,Clays,Carbonate,GR,RHOB,RHOBE_Norm,TNPH
6760.15,3.84,3.42,39.3,18,10,19,0,0,0.8,1.6,3.4,3.3,4.3,0,21.4,31.3,177.01,2.55,2.55,15.7
6762.3,4.65,4.56,50,9.4,0,19.6,0,0,0,4.8,1.7,8,4.3,1.1,24.5,18.5,206.84,2.57,2.57,14.8
6765,4.39,2.78,21.6,7.9,23,22.4,0,0,0,10,3.8,5,3.4,0,32.4,35.8,213.01,2.58,2.57,13.7
6769.1,3.46,2.91,29.3,7.6,9.6,26.5,0,0,2.4,13.5,4.8,2,0.2,0,42.4,19.2,143.78,2.66,2.65,9.4
6771.8,3.86,1.53,43.1,7.8,0,28.7,0,0,0,9.8,8.7,1,0,0.1,38.6,8.9,201.02,2.57,2.56,15.2
6773.9,3.77,2.06,26.7,15.4,2,28.4,0,0,1.8,11.5,3.4,3.4,0,0,41.7,20.8,175.85,2.6,2.59,12.3
6775.1,4.6,3.52,31,0,1.6,33.9,0,0,0.4,11.8,6,4.2,0.9,0,46.1,5.8,183.6,2.6,2.6,13.8
6780.6,4.16,2.47,16,8.7,0.6,28.3,0,0,2.1,19,7.2,4.6,1.2,0,49.4,13.8,231.54,2.58,2.57,14.8
6782.2,2.49,2.32,24.8,19.8,3.9,27,0,0,0,12.6,8.2,2.3,0,0.1,39.5,26.1,196.21,2.61,2.61,12.3
6784.3,2.99,3.66,20.2,11.9,0,25.8,0,0,3.5,12.4,5.8,5.1,2.9,0,41.7,17.1,180.27,2.67,2.66,11.7
